DF/ADF,FID,NAME,ABBR,DOC,PAGE,POS
,3F00,MF,,,,
MF,2F00,DIR,DIR,102.221,140,1
MF,2FE2,ICC Identification,ICCID,102.221,141,1
MF,2F05,Preferred Languages,PL,102.221,142,1
MF,2F06,Access Rule Reference,ARR,102.221,142,2
MF,EA04,ICCR,ICCR,,,
MF,7FF0,USIM,3GPP,,,
USIM,6F05,Language Indication,LI,31.102,21,2
USIM,6F07,International Mobile Subscriber Identity,IMSI,31.102,22,1
USIM,6F08,Ciphering and Integrity Keys,Keys,31.102,23,1
USIM,6F09,Ciphering and Integrity Keys for Packet Switched domain,KeysPS,31.102,23,3
USIM,6F60,User controlled PLMN selector with Access Technology,PLMNwAcT,31.102,24,2
USIM,6F31,Higher Priority PLMN search period,HPPLMN,31.102,25,3
USIM,6F37,ACM maximum value,ACMmax,31.102,26,3
USIM,6F38,USIM Service Table,UST,31.102,28,1
USIM,6F39,Accumulated Call Meter,ACM,31.102,31,4
USIM,6F3E,Group Identifier Level 1,GID1,31.102,32,4
USIM,6F3F,Group Identifier Level 2,GID2,31.102,32,5
USIM,6F46,Service Provider Name,SPN,31.102,33,2
USIM,6F41,Price per Unit and Currency Table,PUCT,31.102,34,1
USIM,6F45,Cell Broadcast Message identifier selection,CBMI,31.102,35,1
USIM,6F78,Access Control Class,ACC,31.102,35,3
USIM,6F7B,Forbidden PLMNs,FPLMN,31.102,36,2
USIM,6F7E,Location Information,LOCI,31.102,36,5
USIM,6FAD,Administrative Data,AD,31.102,37,5
USIM,6F48,Cell Broadcast Message Identifier for Data Download,CBMID,31.102,39,5
USIM,6FB7,Emergency Call Codes,ECC,31.102,40,3
USIM,6F50,Cell Broadcast Message Identifier Range selection,CBMIR,31.102,41,3
USIM,6F73,Packet Switched location information,PSLOCI,31.102,42,2
USIM,6F3B,Fixed Dialling Numbers,FDN,31.102,43,2
USIM,6F3C,Short messages,SMS,31.102,43,5
USIM,6F40,MSISDN,MSISDN,31.102,45,1
USIM,6F42,Short message service parameters,SMSP,31.102,45,4
USIM,6F43,Short message service status,SMSS,31.102,47,2
USIM,6F49,Service Dialling Numbers,SDN,31.102,47,4
USIM,6F4B,Extension2,EXT2,31.102,48,3
USIM,6F4C,Extension3,EXT3,31.102,48,4
USIM,6F47,Short message status reports,SMSR,31.102,49,1
USIM,6F80,Incoming Call Information,ICI,31.102,49,4
USIM,6F81,Outgoing Call Information,OCI,31.102,53,1
USIM,6F82,Incoming Call Timer,ICT,31.102,53,5
USIM,6F83,Outgoing Call Timer,OCT,31.102,54,4
USIM,6F4E,Extension5,EXT5,31.102,55,2
USIM,6F4F,Capability Configuration Parameters 2,CPP2,31.102,55,4
USIM,6FB5,enhanced Multi Level Precedence and Pre-emption,EMLPP,31.102,56,1
USIM,6FB6,Automatic Answer for eMLPP Service,AAeM,31.102,57,2
USIM,6FC3,Key for hidden phone book entries,HiddenKey,31.102,58,1
USIM,6F4D,Barred Dialling Numbers,BDN,31.102,58,3
USIM,6F55,Extension4,EXT4,31.102,59,1
USIM,6F58,Comparison Method Information,CMI,31.102,59,2
USIM,6F56,Enabled Services Table,EST,31.102,60,1
USIM,6F57,Access Point Name Control List,ACL,31.102,60,5
USIM,6F2C,Depersonalisation Control Keys,DCK,31.102,61,2
USIM,6F32,Co-operative Network List,CNL,31.102,61,4
USIM,6F5B,Initialisation values for Hyperframe number,TART-HFN,31.102,63,1
USIM,6F5C,Maximum value of START,THRESHOLD,31.102,63,3
USIM,6F61,Operator controlled PLMN selector with Access Technology,OPLMNwAcT,31.102,63,5
USIM,6F62,HPLMN selector with Access Technology,HPLMNwAcT,31.102,64,3
USIM,6F06,Access Rule Reference,ARR,31.102,65,1
USIM,6FC4,NETPAR,NETPAR,31.102,66,1
USIM,6FC5,PLMN Network Name,PNN,31.102,68,3
USIM,6FC6,Operator PLMN List,ONL,31.102,69,3
USIM,6FC7,Mailbox Dialling Numbers,MDN,31.102,70,3
USIM,6FC8,Extension6,EXT6,31.102,71,1
USIM,6FC9,Mailbox Identifier,MBI,31.102,71,3
USIM,6FCA,Message Waiting Indication Status,MWIS,31.102,71,5
USIM,6FCB,Call Forwarding Indication Status,CFIS,31.102,73,2
USIM,6FCC,Extension7,EXT7,31.102,74,2
USIM,6FCD,Service Provider Display Information,SPDI,31.102,74,3
USIM,6FCE,MMS Notification,MMSN,31.102,75,3
USIM,6FCF,Extension 8,EXT8,31.102,77,1
USIM,6FD0,MMS Issuer Connectivity Parameters,MMSICP,31.102,77,4
USIM,6FD1,MMS User Preferences,MMSUP,31.102,80,2
USIM,6FD2,MMS User Connectivity Parameters,MMSUCP,31.102,81,2
USIM,6FD3,Network's Indication of Alerting,NIA,31.102,81,5
USIM,6FB1,Voice Group Call Service,VGCS,31.102,82,3
USIM,6FB2,Voice Group Call Service Status,VGCSS,31.102,84,1
USIM,6FB3,Voice Broadcast Service,VBS,31.102,84,5
USIM,6FB4,Voice Broadcast Service Status,VBSS,31.102,86,3
USIM,6FD4,Voice Group Call Service Ciphering Algorithm,VGCSCA,31.102,87,1
USIM,6FD5,Voice Broadcast Service Ciphering Algorithm,VBSCA,31.102,88,1
